role,opt_type,n_subjects,n_trials_total,mean_ms,sd_ms,median_ms,mu_log,sigma_log,se_ms,se_log,geom_mean_ms,geom_sd_multiplier
First,E,21,5007,235.62259887045673,64.45504287771502,213.5,5.293116168512631,0.2552094717285413,14.065243471845399,0.05569127248884443,198.9624609549379,1.2907319644129063
First,S,21,2223,242.59796711029958,79.99725498348349,190.0,5.28684884334511,0.2743274424462052,17.456832207166496,0.05986315572444653,197.71939792500052,1.3156455299062668
Middle,E,21,2201,229.147545812526,52.34601594689691,198.0,5.325767947252989,0.19419675723725377,11.422837162191458,0.042377206654984706,205.56616383552026,1.2143351886890728
Middle,S,21,2343,226.81927472813086,34.078640360993695,203.13333333333333,5.333177742111535,0.15041627389732612,7.436569001687182,0.032823521947033675,207.09502421511533,1.1623179846741378
Final,E,21,3456,471.298031799378,74.97077167591662,412.5,6.019645961796189,0.17708477723863966,16.35996362448282,0.038643066481926634,411.432906971122,1.1937322901647107
Final,S,21,3778,466.97816584600946,87.89116754622863,411.5,5.997582302289676,0.20394921769658161,19.179425152316135,0.044505368001029166,402.4546027463309,1.2262358807924885
