role,value_cond,opt_type,n_subjects,n_trials_total,mean_ms,sd_ms,median_ms,mu_log,sigma_log,se_ms,se_log,geom_mean_ms,geom_sd_multiplier
First,E>S,E,21,2206,235.39510061288763,73.32782964473786,206.5,5.285499382870796,0.28533923161564784,16.001444280658955,0.062266125124725846,197.45276335936205,1.3302132019645898
First,E>S,S,21,999,242.00891902882458,82.85112246063275,178.0,5.2879547418188375,0.2672115323013153,18.07959714704312,0.058310336825519754,197.93817645651674,1.306316745293925
First,S>E,E,21,2250,235.631333581545,60.8880627050538,209.0,5.303208236402888,0.2383608994804127,13.286864584053651,0.05201461259936911,200.98056993628964,1.26916715194703
First,S>E,S,21,976,240.43544644352684,83.86842776461029,189.0,5.272575901248393,0.29427341076850894,18.301591364202984,0.06421572285045359,194.91740432087326,1.3421508119913037
Middle,E>S,E,21,928,217.19430452085223,51.5054895353271,190.0,5.275002698763661,0.19852352645148108,11.239419261971063,0.04332138510445143,195.39100382598014,1.2196007199538972
Middle,E>S,S,21,996,234.08965550639118,52.2576082993863,198.25,5.3559660167031184,0.2115680359696944,11.403545031870964,0.04616793045067926,211.86854608247882,1.235614028967631
Middle,S>E,E,21,994,231.450312187642,50.77479769757781,205.0,5.337206135193303,0.19806199125566787,11.079969230724753,0.043220669867751416,207.93096700052928,1.219037961173281
Middle,S>E,S,21,1059,223.4764084291986,36.790681442785115,213.0,5.323677738706675,0.16473682140909857,8.028384884789045,0.03594852161207695,205.136936426711,1.179082768532842
Final,E>S,E,21,1452,457.38073503201895,81.50086490478101,424.0,5.99184886062503,0.1993656305945788,17.784946791929947,0.043505147293917204,400.15375494997954,1.2206281833279595
Final,E>S,S,21,1757,462.93127282049215,93.03757258599768,411.0,5.984285104793687,0.20998700596943468,20.302462802394416,0.04582292141962278,397.138507326222,1.233662029610474
Final,S>E,E,21,1611,486.00079870367273,80.56425811189384,424.0,6.048218766737911,0.184700702284116,17.580562433605408,0.04030499757754594,423.3582582206634,1.2028583734831058
Final,S>E,S,21,1615,467.87605417110586,90.66004322921013,414.5,6.005027106348798,0.2168093161748563,19.7836433621821,0.047311671559185364,405.4619791802765,1.2421072297968034
