OV_2,role,n,mu_log,sigma_log,geom_median_ms,geom_mean_ms,source_col
1,First,2523,5.255303503953884,0.5890505758897822,191.57962220444736,227.8742164379144,FirstFixDur
1,EachMiddle,1756,5.373777234994034,0.41913620432382703,215.67598995729224,235.47736963750157,eachMiddleFixDur
2,First,2810,5.296984189974522,0.6295257504650471,199.73354234231644,243.50452492977695,FirstFixDur
2,EachMiddle,1599,5.302186553932499,0.4447385169965554,200.77533647066645,221.64626899508667,eachMiddleFixDur
3,First,1897,5.3130692352279265,0.582547252743315,202.9722429036351,240.50716617018426,FirstFixDur
3,EachMiddle,1195,5.340112593747692,0.46473694987217357,208.53618883833335,232.31699807316838,eachMiddleFixDur
