Bin,Mean_qRT_E,SEM_qRT_E,Mean_qRT_S,SEM_qRT_S,Mean_pS,SEM_pS,Mean_RT,SEM_RT,Mean_RT_E,SEM_RT_E,Mean_RT_S,SEM_RT_S,Mean_CorrectProb,SEM_CorrectProb
1,0.533305932186173,0.0324669335398663,0.466694067813827,0.0324669335398663,0.496675531914894,0.0128924805911245,1.4116230357107,0.021893096757115,1.37847748670617,0.026864210679408,1.44521230023068,0.0346430079248615,0.822604790419162,0.0104511319760013
2,0.484667555114857,0.0154661205481541,0.515332444885143,0.0154661205481541,0.487450462351387,0.0128460683607142,0.99866279786724,0.0141458813639618,0.996499901533616,0.0196037395489255,1.00093706284677,0.0204404153194302,0.86,0.0094437908270559
3,0.481325273429595,0.0128319989837072,0.518674726570405,0.0128319989837072,0.501317523056653,0.012833130505036,0.996645526356197,0.014937681450627,0.99737745177617,0.0206657779323594,0.995917448113201,0.0215833183378993,0.898496240601504,0.00828082059001167
4,0.50275901485919,0.0164050305041106,0.49724098514081,0.0164050305041106,0.500331345261763,0.0128713852449842,0.961155981046945,0.0154968590794562,0.957711067140724,0.0222761748115498,0.96459633215329,0.0215645433575412,0.876854599406528,0.00895010115927386
5,0.501491815209718,0.0142707458454904,0.498508184790282,0.0142707458454904,0.505610561056106,0.0128450661279513,1.20387765909214,0.0226450705583254,1.14932888232091,0.0300954728569604,1.25721582332405,0.033671137391701,0.831111111111111,0.0101967835196808
