fix_idx,x,n_obs,n_subs,est,se,z,p,p_fdr
0,0,6667,23,-78.88034872147166,1649262.8902818635,-4.782763814445058e-5,0.9999618390659595,0.9999928027258853
1,-1,6667,23,-79.29101975874076,1651482.3645560264,-4.8012029350405346e-5,0.9999616919430632,0.9999928027258853
2,-2,4635,22,-78.88038126788797,2024800.0288862954,-3.895712176143868e-5,0.9999689167140211,0.9999928027258853
3,-3,2638,21,-79.29104529379163,2700684.2015547776,-2.935961385198016e-5,0.9999765744173997,0.9999928027258853
4,-4,1416,21,-79.29096321324687,3630451.4155812357,-2.1840524534481995e-5,0.9999825737826755,0.9999928027258853
5,-5,785,21,-79.29101812625775,4867348.769460682,-1.6290391726961342e-5,0.9999870021479522,0.9999928027258853
6,-6,527,20,-78.88044467109322,5948242.530471972,-1.3261134573279467e-5,0.9999894191454656,0.9999928027258853
7,-7,334,19,-79.29103341138058,7392065.234721946,-1.0726506178399971e-5,0.999991441486329,0.9999928027258853
8,-8,238,19,-78.88034676608594,8744617.730544196,-9.020445398152017e-6,0.9999928027258853,0.9999928027258853
