role,opt_type,n_subjects,mean_prob,sd_prob,median_prob,se_prob,mean_percent,se_percent,median_percent
First,E,17,0.650594168121225,0.23512801487657597,0.6788732394366197,0.05702692005164255,65.05941681212249,5.702692005164256,67.88732394366197
First,S,17,0.349405831878775,0.23512801487657595,0.3211267605633803,0.057026920051642546,34.9405831878775,5.702692005164255,32.11267605633803
Middle,E,17,0.4586613974224422,0.12426255250514785,0.45098039215686275,0.030138095840446178,45.86613974224422,3.0138095840446177,45.09803921568628
Middle,S,17,0.5413386025775578,0.12426255250514784,0.5490196078431373,0.030138095840446175,54.133860257755785,3.0138095840446173,54.90196078431373
Final,E,17,0.5176323047404213,0.10309174968264051,0.4958217270194986,0.025003421945368396,51.76323047404213,2.50034219453684,49.58217270194986
Final,S,17,0.48236769525957873,0.10309174968264052,0.5041782729805014,0.0250034219453684,48.236769525957875,2.50034219453684,50.41782729805014
