role,value_cond3,opt_type,n_subjects,mean_prob,sd_prob,median_prob,se_prob,mean_percent,se_percent,median_percent
First,E>S,E,17,0.6415991651810741,0.24015335032893662,0.6774193548387096,0.05824574292659808,64.15991651810741,5.824574292659808,67.74193548387096
First,E>S,S,17,0.358400834818926,0.2401533503289366,0.3225806451612903,0.05824574292659808,35.8400834818926,5.824574292659808,32.25806451612903
First,E=S,E,17,0.6388171584669398,0.23862868346490704,0.575,0.05787595689575848,63.88171584669398,5.7875956895758485,57.49999999999999
First,E=S,S,17,0.36118284153306013,0.23862868346490704,0.425,0.05787595689575848,36.118284153306014,5.7875956895758485,42.5
First,S>E,E,17,0.6620292782277035,0.23734588196256354,0.7,0.05756483183159006,66.20292782277035,5.7564831831590055,70.0
First,S>E,S,17,0.33797072177229653,0.23734588196256354,0.3,0.05756483183159006,33.79707217722965,5.7564831831590055,30.0
Middle,E>S,E,17,0.46912132144494867,0.12288017302319396,0.46956521739130436,0.029802819568753088,46.91213214449487,2.980281956875309,46.95652173913044
Middle,E>S,S,17,0.5308786785550513,0.12288017302319396,0.5304347826086957,0.029802819568753088,53.08786785550513,2.980281956875309,53.04347826086957
Middle,E=S,E,17,0.4970538518326394,0.20583483741362327,0.4838709677419355,0.0499222809463651,49.70538518326394,4.99222809463651,48.38709677419355
Middle,E=S,S,17,0.5029461481673606,0.20583483741362327,0.5161290322580645,0.0499222809463651,50.29461481673606,4.99222809463651,51.61290322580645
Middle,S>E,E,17,0.4380431336650527,0.1381498592777002,0.3894736842105263,0.03350626246859846,43.80431336650527,3.350626246859846,38.94736842105263
Middle,S>E,S,17,0.5619568663349473,0.1381498592777002,0.6105263157894737,0.03350626246859846,56.19568663349474,3.350626246859846,61.05263157894737
Final,E>S,E,17,0.5066639397217785,0.10523285822380962,0.5157232704402516,0.02552271704367148,50.66639397217785,2.552271704367148,51.57232704402516
Final,E>S,S,17,0.49333606027822136,0.10523285822380962,0.48427672955974843,0.02552271704367148,49.333606027822135,2.552271704367148,48.42767295597484
Final,E=S,E,17,0.538242627579316,0.10491989550041655,0.5,0.02544681243394027,53.82426275793159,2.544681243394027,50.0
Final,E=S,S,17,0.46175737242068404,0.10491989550041655,0.5,0.02544681243394027,46.17573724206841,2.544681243394027,50.0
Final,S>E,E,17,0.5233521891991475,0.1131908523147005,0.48427672955974843,0.027452814114541143,52.33521891991475,2.745281411454114,48.42767295597484
Final,S>E,S,17,0.4766478108008525,0.11319085231470051,0.5157232704402516,0.027452814114541146,47.66478108008525,2.7452814114541146,51.57232704402516
