role,value_cond3,OV_2,opt_type,n_subjects,mean_prob,sd_prob,median_prob,se_prob,mean_percent,se_percent,median_percent
Middle,E>S,3,E,17,0.4746958078490501,0.22077271572742377,0.47368421052631576,0.05354524859991938,47.469580784905006,5.354524859991939,47.368421052631575
Middle,E>S,3,S,17,0.5253041921509499,0.2207727157274237,0.5263157894736842,0.05354524859991937,52.530419215094994,5.354524859991937,52.63157894736842
Middle,E=S,1,E,16,0.4660374245852187,0.24837589446622,0.5147058823529411,0.062093973616555,46.60374245852187,6.209397361655499,51.470588235294116
Middle,E=S,1,S,16,0.5339625754147813,0.24837589446622,0.4852941176470588,0.062093973616555,53.39625754147813,6.209397361655499,48.529411764705884
Middle,E=S,2,E,13,0.541025641025641,0.31370068482252256,0.4,0.08700491571352101,54.1025641025641,8.700491571352101,40.0
Middle,E=S,2,S,13,0.458974358974359,0.31370068482252256,0.6,0.08700491571352101,45.8974358974359,8.700491571352101,60.0
Middle,E=S,3,E,16,0.43838141025641025,0.21671877711618437,0.44505494505494503,0.05417969427904609,43.83814102564102,5.417969427904609,44.505494505494504
Middle,E=S,3,S,16,0.5616185897435897,0.21671877711618437,0.554945054945055,0.05417969427904609,56.16185897435897,5.417969427904609,55.494505494505496
Middle,S>E,1,E,17,0.4070060842504,0.1348566304813898,0.3829787234042553,0.03270753716409767,40.70060842504,3.2707537164097666,38.297872340425535
Middle,S>E,1,S,17,0.5929939157495999,0.1348566304813898,0.6170212765957447,0.03270753716409767,59.29939157495999,3.2707537164097666,61.702127659574465
Middle,S>E,2,E,17,0.48289882822898145,0.20967726506701637,0.4583333333333333,0.05085420653893768,48.28988282289814,5.085420653893768,45.83333333333333
Middle,S>E,2,S,17,0.5171011717710186,0.20967726506701634,0.5416666666666666,0.05085420653893767,51.71011717710186,5.085420653893767,54.166666666666664
Middle,S>E,3,E,16,0.43919004312043364,0.14983557748775278,0.42454545454545456,0.037458894371938195,43.91900431204336,3.7458894371938194,42.45454545454545
Middle,S>E,3,S,16,0.5608099568795664,0.14983557748775275,0.5754545454545454,0.03745889437193819,56.08099568795664,3.745889437193819,57.54545454545455
Final,E>S,1,E,17,0.5023203942132591,0.1316209409861323,0.4666666666666667,0.03192276718994189,50.232039421325915,3.192276718994189,46.666666666666664
Final,E>S,1,S,17,0.4976796057867409,0.13162094098613228,0.5333333333333333,0.031922767189941886,49.76796057867409,3.1922767189941887,53.333333333333336
Final,E>S,2,E,17,0.4909841011503416,0.1253307044819072,0.5,0.0303971607477633,49.098410115034156,3.03971607477633,50.0
Final,E>S,2,S,17,0.5090158988496585,0.12533070448190722,0.5,0.030397160747763306,50.901589884965844,3.0397160747763308,50.0
Final,E>S,3,E,17,0.5353527372849816,0.12798736657611984,0.5555555555555556,0.031041495949293497,53.535273728498154,3.10414959492935,55.55555555555556
Final,E>S,3,S,17,0.4646472627150185,0.12798736657611984,0.4444444444444444,0.031041495949293497,46.46472627150185,3.10414959492935,44.44444444444444
Final,E=S,1,E,17,0.5522058823529411,0.08774912015647389,0.55,0.02128228770353868,55.22058823529411,2.128228770353868,55.00000000000001
