role,value_cond,OV_2,opt_type,n_subjects,n_trials_total,mean_ms,sd_ms,median_ms,mu_log,sigma_log,se_ms,se_log,geom_mean_ms,geom_sd_multiplier
Middle,E>S,1,E,16,184,255.48589220004854,79.55532547573657,229.95833333333331,5.401872194111768,0.3624730886013944,19.88883136893414,0.0906182721503486,221.82132026218912,1.436878552054347
Middle,E>S,1,S,16,226,233.16265065604662,42.80359948364201,222.6875,5.374888085935481,0.1919974739727292,10.700899870910503,0.0479993684931823,215.91570695405903,1.2116674562559973
Middle,E>S,2,E,17,230,249.79384557254622,78.10434733142618,211.25,5.397174078298126,0.29485242411874507,18.943086698082293,0.07151221697711778,220.7816222329145,1.3429281602552707
Middle,E>S,2,S,16,318,222.09552444561433,51.95511180967495,210.58333333333331,5.297037820027899,0.24465433734698935,12.988777952418738,0.06116358433674734,199.7442543500938,1.2771797635502302
Middle,E>S,3,E,16,173,261.96156621924274,91.5470435742726,212.0,5.4473986597763435,0.30228889433697237,22.88676089356815,0.07557222358424309,232.15346957973924,1.3529520304360607
Middle,E>S,3,S,16,224,214.83821758204638,64.21333209158624,209.58333333333331,5.244981644635184,0.46102532288372217,16.05333302289656,0.11525633072093054,189.61233479399863,1.585699005243666
Middle,S>E,1,E,17,243,241.87458506171527,55.69489433368902,228.6,5.400084008006183,0.21939880873425424,13.507996008553786,0.053212027208589224,221.42501689706114,1.2453278252807238
Middle,S>E,1,S,17,361,257.5836970986518,69.98062484546945,245.0,5.430245401885958,0.3062589515986452,16.972794587329066,0.07427870624894946,228.20524054948453,1.3583340037714189
Middle,S>E,2,E,17,232,244.2312379277398,83.61896354903269,214.5,5.349774587685103,0.39522289872439037,20.280577589254985,0.09585563277079134,210.5608295128926,1.4847150951412698
Middle,S>E,2,S,16,333,236.8802787261111,56.178802156482085,215.71666666666664,5.375833594645534,0.20920741661674822,14.044700539120521,0.052301854154187054,216.11995367893377,1.2327006546149217
Middle,S>E,3,E,16,131,230.54377762760114,82.06593763082626,206.125,5.3087472764559305,0.367146257844309,20.516484407706564,0.09178656446107725,202.09689820237156,1.4436090428221806
Middle,S>E,3,S,16,186,246.87426577992736,59.07963096970221,218.49999999999994,5.428134808537521,0.21095259907605238,14.769907742425552,0.052738149769013094,227.7241000113198,1.2348538204620783
Final,E>S,1,E,17,341,513.251890076568,127.4169181732949,451.0,6.0852823754220235,0.2550790686740239,30.903141889363372,0.06186576135454009,439.34385506548654,1.290563659996127
Final,E>S,1,S,17,349,536.2945394545777,129.37126450923444,447.5,6.124271623709941,0.2660583207688081,31.377140499487936,0.06452862112378004,456.8118611341552,1.30481115405759
Final,E>S,2,E,17,519,512.1718836425346,148.79734145755714,459.0,6.088944453160257,0.30737873877001254,36.08865621415328,0.0745502945304647,440.9557159952018,1.3598559007045765
Final,E>S,2,S,17,553,517.7845905197099,126.89214457295589,458.5,6.087554157213561,0.2628652884096662,30.775865596202582,0.06375419702479433,440.3430830198337,1.3006514943183252
Final,E>S,3,E,17,360,495.4273731201478,149.05816491616517,448.0,6.070618153286575,0.3073773151478462,36.15191519471092,0.07454994925137279,432.9482272434269,1.3598539647849512
Final,E>S,3,S,17,315,495.5130700656653,116.50649104972808,424.0,6.060096912569802,0.26777902659534414,28.256974627535733,0.06494595358692262,428.4169538354388,1.3070582829823763
Final,S>E,1,E,17,466,547.0203075872853,161.75230153961942,433.0,6.143888123367518,0.29097732012374244,39.230695554977004,0.07057236620760902,465.86138060811527,1.3377342439588644
Final,S>E,1,S,17,456,545.805048950884,109.67236986679815,496.5,6.161001550216647,0.20692636553639987,26.599456774859778,0.05018701540186745,473.9024743535668,1.229892006008264
Final,S>E,2,E,17,526,518.4888137324988,134.68154937855147,457.0,6.106828231585371,0.2730108492829766,32.665073759388726,0.06621485697254682,448.91260789154114,1.3139144997776262
Final,S>E,2,S,17,477,508.37441994837343,122.05874641460858,469.0,6.074686563216037,0.25935843758955146,29.60359435281836,0.06290366076922863,434.71322604489677,1.2960982919258373
Final,S>E,3,E,17,280,509.97701705889716,128.47749812646012,450.5,6.102048628546607,0.25136176308445285,31.160370311205302,0.06096418231992242,446.7721032828032,1.2857751461878153
Final,S>E,3,S,17,263,511.4583235048405,108.79449997885963,471.0,6.114593848015642,0.21317744452014195,26.386542052888036,0.05170312475034082,452.41226191338257,1.2376042378509156
