role,opt_type,n_subjects,n_trials_total,mean_ms,sd_ms,median_ms,mu_log,sigma_log,se_ms,se_log,geom_mean_ms,geom_sd_multiplier
First,E,17,3630,276.5618607903073,101.54017024609107,205.0,5.403579524238059,0.32540723026060964,24.627108656931355,0.07892284598259888,222.2003659709294,1.3845943799183744
First,S,16,1897,284.1425777052844,109.27426196498944,188.5,5.399843779038728,0.3233452589692604,27.31856549124736,0.0808363147423151,221.37183058258583,1.381742327492443
Middle,E,17,1363,243.75308419068534,65.14519625380301,211.0,5.369640212388104,0.27231475225835594,15.800030891530689,0.06604602864559453,214.78557661130156,1.313000206059212
Middle,S,17,1870,235.47585342724247,48.550943949191144,226.0,5.344745664457039,0.2764622778649933,11.775333536821043,0.0670519513609545,209.50459335772513,1.31845721675856
Final,E,17,2822,519.0788234774511,132.0056689302336,437.0,6.102679672479043,0.2604849056125457,32.016077422333446,0.06317686939526898,447.0541250824757,1.2975591278443488
Final,S,17,2705,515.613078016112,110.691097817104,491.5,6.092939755489306,0.2331559578937107,26.84653459502919,0.05654862597869606,442.7209914507198,1.2625783730370017
