OV_2,role,n,mu_log,sigma_log,geom_median_ms,geom_mean_ms,source_col
1,First,1932,5.314272597222955,0.5898211663915894,203.21663900578957,241.8256716254014,FirstFixDur
1,EachMiddle,1228,5.439960668729385,0.44942637207973957,230.43312005500206,254.92074697881068,eachMiddleFixDur
2,First,2149,5.349781748154452,0.6321391884836904,210.5623372326564,257.1299823567585,FirstFixDur
2,EachMiddle,1159,5.37300123644894,0.46548058038512136,215.5086906232889,240.16767417642637,eachMiddleFixDur
3,First,1446,5.393405399990732,0.6403730193464924,219.95113322843014,270.00600566216525,FirstFixDur
3,EachMiddle,851,5.4031968594126,0.4593031470541465,222.11535397325625,246.8242512234385,eachMiddleFixDur
