x,fix_idx,E_m,E_sem,S_m,S_sem,n_sub,mdiff,t_stat,df,p_value,ci_lo,ci_hi
-4,4,0.594981164182285,0.024239023586617527,0.405018835817715,0.024239023586617527,21,0.18996232836457008,3.9185227013321016,20,0.0008511249276091105,0.08883889396637286,0.2910857627627673
-3,3,0.6205476824682029,0.02689872033550621,0.37945231753179703,0.026898720335506214,21,0.24109536493640596,4.481539677896144,20,0.00022838670680014935,0.12887587014022156,0.35331485973259036
-2,2,0.5972567022734844,0.03433922597069846,0.40274329772651557,0.03433922597069846,22,0.19451340454696878,2.832233386869966,21,0.009980362241375837,0.05168874505517637,0.3373380640387612
-1,1,0.5366503700341736,0.0233268802009753,0.4633496299658264,0.0233268802009753,23,0.07330074006834718,1.5711646700462427,22,0.13041663965785139,-0.02345323714570495,0.1700547172823993
0,0,0.47460272429273115,0.01833024553888569,0.5253972757072688,0.018330245538885688,23,-0.05079455141453767,-1.3855393073372195,22,0.17977502312315327,-0.12682375651686317,0.02523465368778783
