x,E_m,E_sem,S_m,S_sem,p_raw,t,sig,n_subs
-8,0.5674602465817636,0.06030003468089662,0.43253975341823636,0.060300034680896605,0.27795801365337086,1.1187430809743026,False,23
-7,0.505625587529862,0.037760276583757815,0.494374412470138,0.03776027658375782,0.8832245750796317,0.14898162934224277,False,23
-6,0.5866528370519959,0.03310727934216686,0.41334716294800417,0.03310727934216686,0.02388730451943201,2.467027464746089,True,23
-5,0.6103953344120185,0.03554517518419237,0.38960466558798146,0.03554517518419237,0.015946432601834055,2.660049021534284,True,23
-4,0.594981164182285,0.024239023586617527,0.405018835817715,0.024239023586617527,0.0016782912292162993,3.6892693080319128,True,23
-3,0.6205476824682029,0.02689872033550621,0.37945231753179703,0.026898720335506214,0.0004384712549861468,4.292350423603235,True,23
-2,0.5972567022734844,0.03433922597069846,0.40274329772651557,0.03433922597069845,0.0003321507316523507,4.417772446314189,True,23
-1,0.5366503700341736,0.0233268802009753,0.4633496299658264,0.0233268802009753,0.04836373756041132,2.117877704558403,True,23
0,0.47460272429273115,0.01833024553888569,0.5253972757072688,0.018330245538885688,0.04997797947964756,-2.1011468551589316,True,23
