window,E_mean,E_sem,S_mean,S_sem,diff,t,p,n_subs
0-300 ms,0.6638252481774585,0.03851216268617507,0.3361747518225415,0.038512162686175064,0.327650496354917,4.253857398568474,0.0003885830712977009,21
300-600 ms,0.4738093599906021,0.0214591267695122,0.5261906400093979,0.0214591267695122,-0.05238128001879577,-1.2204895516348735,0.23647461890439436,21
600-900 ms,0.47795504517123505,0.020257818901335288,0.5220449548287649,0.020257818901335288,-0.04408990965752985,-1.0882195628331863,0.2894385150453418,21
900-1200 ms,0.5582675699746079,0.026797966365381683,0.441732430025392,0.026797966365381683,0.11653513994921594,2.1743280508732785,0.041857121516599344,21
