x,E_m,E_sem,S_m,S_sem,n_subs
-8,0.5674602465817636,0.06030003468089662,0.43253975341823636,0.060300034680896605,23
-7,0.505625587529862,0.037760276583757815,0.494374412470138,0.03776027658375782,23
-6,0.5866528370519959,0.03310727934216686,0.41334716294800417,0.03310727934216686,23
-5,0.6103953344120185,0.03554517518419237,0.38960466558798146,0.03554517518419237,23
-4,0.594981164182285,0.024239023586617527,0.405018835817715,0.024239023586617527,23
-3,0.6205476824682029,0.02689872033550621,0.37945231753179703,0.026898720335506214,23
-2,0.5972567022734844,0.03433922597069846,0.40274329772651557,0.03433922597069845,23
-1,0.5366503700341736,0.0233268802009753,0.4633496299658264,0.0233268802009753,23
0,0.466172571703338,0.017711720312004995,0.5338274282966621,0.017711720312004995,23
