x,E_m,E_sem,S_m,S_sem,t_value,p_value_uncorrected,p_value_fdr,n_subs
-4,0.591396889058066,0.025202702404803427,0.408603110941934,0.025202702404803424,3.626471780289976,0.0017968663243670357,0.0044921658109175885,21
-3,0.6112524859464518,0.026536915720821633,0.3887475140535482,0.026536915720821636,4.192366856678823,0.0004938419454738922,0.0024692097273694607,21
-2,0.5828772687531003,0.032705592260185413,0.41712273124689975,0.032705592260185413,2.534039686356391,0.019741703893951513,0.032902839823252525,21
-1,0.5318869132120314,0.018355044307501962,0.46811308678796865,0.01835504430750197,1.7372288880282767,0.09772379763091328,0.1221547470386416,21
0,0.48073682965147835,0.01585363803475376,0.5192631703485217,0.015853638034753762,-1.2150630856017777,0.23849230527152804,0.23849230527152804,21
