x,E_m,E_sem,S_m,S_sem,t_value,p_value_uncorrected,p_value_fdr,n_subs
-4,0.594981164182285,0.024239023586617527,0.405018835817715,0.024239023586617527,3.9185227013321016,0.0008511249276091105,0.0021278123190227763,23
-3,0.6205476824682029,0.02689872033550621,0.37945231753179703,0.026898720335506214,4.481539677896144,0.00022838670680014935,0.0011419335340007468,23
-2,0.5972567022734844,0.03433922597069846,0.40274329772651557,0.03433922597069846,2.832233386869966,0.009980362241375837,0.016633937068959728,23
-1,0.5366503700341736,0.0233268802009753,0.4633496299658264,0.0233268802009753,1.5711646700462427,0.13041663965785139,0.16302079957231422,23
0,0.47460272429273115,0.01833024553888569,0.5253972757072688,0.018330245538885688,-1.3855393073372195,0.17977502312315327,0.17977502312315327,23
