OVcate_2,P_FixRight_VrGreater,SD_FixRight_VrGreater,P_FixRight_VlGreater,SD_FixRight_VlGreater,Mean_FirstFixDur,SD_FirstFixDur,Mu_FirstFixDur,Sigma_FirstFixDur,Mean_RemainingDur,SD_RemainingDur,Mu_RemainingDur,Sigma_RemainingDur,N_subj
low,0.53343209937013,0.154571098107429,0.46656790062987,0.154571098107429,230.971110928448,57.9406076980175,5.44229264178521,0.247039057951594,635.0257863526,116.949673711698,6.45366560649748,0.182631710302017,21
medium,0.483049417876602,0.133179310429717,0.516950582123398,0.133179310429717,246.2237869975,70.9285405606459,5.50624082564501,0.282343795075436,595.947252242016,108.693157376474,6.39015216019909,0.180897162420086,21
high,0.459169580192895,0.172222839687232,0.540830419807105,0.172222839687232,246.389981252492,68.1836913948731,5.50691557033145,0.271641821715015,605.858036840396,115.76792290983,6.40664569598593,0.189370426238121,21
