OVcate_2,P_FixRight_VrGreater,SD_FixRight_VrGreater,P_FixRight_VlGreater,SD_FixRight_VlGreater,Mean_FirstFixDur,SD_FirstFixDur,Mu_FirstFixDur,Sigma_FirstFixDur,Mean_RemainingFixDur,SD_RemainingFixDur,Mu_RemainingFixDur,Sigma_RemainingFixDur
low,0.541054161310156,0.475866999253432,0.458945838689844,0.455428517943396,262.477358490566,163.251245844226,5.57016482494237,0.571862269211241,607.777068091761,264.299101766308,6.40980815040561,0.416174037103656
medium,0.649732697587054,0.489230868216527,0.350267302412946,0.409423953921483,279.295536791315,183.507725335566,5.63227049284248,0.599050600382156,556.559887606027,254.427282421806,6.32177477967133,0.435633518588147
high,0.586181123988078,0.476620966922645,0.413818876011922,0.430696519746776,264.095732410611,168.271902253473,5.57631166018204,0.583722346482911,572.760347876524,268.100375103297,6.35046738817437,0.445101790000428
