phase,P_FixRight_VrGreater,SD_FixRight_VrGreater,P_FixRight_VlGreater,SD_FixRight_VlGreater,Mean_FirstFixDur,SD_FirstFixDur,Mu_FirstFixDur,Sigma_FirstFixDur,Mean_RemainingFixDur,SD_RemainingFixDur,Mu_RemainingFixDur,Sigma_RemainingFixDur
LE,0.673493015348574,0.497550203215643,0.326506984651426,0.442613617863312,319.606734226872,258.187002805492,5.7670912844676,0.708759879467349,569.616502690022,322.837886982257,6.34496333209735,0.527784305832258
ES,0.492606461419217,0.459429763457454,0.507393538580783,0.463229084720612,236.887337572574,174.061830089362,5.46758465921943,0.657058299208055,614.619770961879,280.22084653165,6.42100381800729,0.434576687963767
EE,0.586649264112384,0.48014264571777,0.413350735887616,0.435210582122474,268.045355587808,171.233194844149,5.59115620345979,0.585009778326312,581.355246956317,263.395691629784,6.36536201054274,0.432096058463859
