OVcate_2,P_FixRight_VrGreater,SD_FixRight_VrGreater,P_FixRight_VlGreater,SD_FixRight_VlGreater,Mean_FirstFixDur,SD_FirstFixDur,Mu_FirstFixDur,Sigma_FirstFixDur,Mean_RemainingFixDur,SD_RemainingFixDur,Mu_RemainingFixDur,Sigma_RemainingFixDur
low,0.474005553657618,0.455987457475181,0.525994446342382,0.469283959525467,227.949266745937,165.460053021788,5.42912308992226,0.650557462629917,637.438239875807,282.826228025712,6.45745739371336,0.423914617233288
medium,0.501051835824981,0.464382095224479,0.498948164175019,0.463839718821739,241.858158549591,176.619706629831,5.48835143262431,0.653766367487134,598.130212780071,276.925066124981,6.39380847737103,0.440695862399039
high,0.500507616932708,0.456266306285878,0.499492383067292,0.455929890284034,241.401475237092,180.884554258667,5.48646141981747,0.667551381607077,608.726267324146,279.727915665779,6.41136868772167,0.437704184556132
