role,opt_type,n_subjects,mean_prob,sd_prob,median_prob,se_prob,mean_percent,se_percent,median_percent
First,E,21,0.6870993018606818,0.18147652613454823,0.7083333333333334,0.03960142466043805,68.70993018606818,3.9601424660438047,70.83333333333334
First,S,21,0.31290069813931815,0.18147652613454823,0.2916666666666667,0.03960142466043805,31.290069813931815,3.9601424660438047,29.166666666666668
Middle,E,21,0.49395953649941615,0.08737798923065151,0.49433962264150944,0.019067440462976037,49.39595364994162,1.9067440462976037,49.43396226415094
Middle,S,21,0.5060404635005838,0.0873779892306515,0.5056603773584906,0.019067440462976034,50.60404635005838,1.9067440462976033,50.56603773584906
Final,E,21,0.48120442320632584,0.07280765086909997,0.48333333333333334,0.015887931965693713,48.120442320632584,1.5887931965693713,48.333333333333336
Final,S,21,0.5187955767936742,0.07280765086909996,0.5166666666666667,0.01588793196569371,51.879557679367416,1.588793196569371,51.66666666666667
