role,opt_type,n_subjects,n_trials_total,mean_ms,sd_ms,median_ms,se_ms
First,E,21,5010,235.53325422170613,64.52070871377741,213.5,14.079572932051516
First,S,21,2224,242.3732822542783,79.84253397797728,190.0,17.42306931576974
Middle,E,21,2201,447.93434870906356,239.80994545826525,269.0,52.330820355511044
Middle,S,21,2343,423.17607757262505,138.71538370101234,273.0,30.27017837451108
Final,E,21,3456,471.298031799378,74.97077167591662,412.5,16.35996362448282
Final,S,21,3778,466.97816584600946,87.89116754622863,411.5,19.179425152316135
