Bin,Mean_qRT_E,SEM_qRT_E,Mean_qRT_S,SEM_qRT_S,Mean_pS,SEM_pS,Mean_RT,SEM_RT,Mean_RT_E,SEM_RT_E,Mean_RT_S,SEM_RT_S,Mean_CorrectProb,SEM_CorrectProb
1,0.625,0.0479434093523279,0.375,0.0479434093523279,0.507991660875608,0.0131790506300076,1.4164108519077,0.0351928178732463,1.30311894056228,0.0467911412146554,1.52613817507126,0.052110341894165,0.785813630041725,0.0108187292167495
2,0.554166666666667,0.0315896904782149,0.445833333333333,0.0315896904782149,0.429763560500695,0.0130545779160563,1.02710832520867,0.0177958936814595,0.970900673293364,0.0236588838444529,1.10168805752347,0.0267318404849957,0.810284920083391,0.0103356884017756
3,0.521752738654147,0.0292477445898917,0.478247261345853,0.0292477445898917,0.400556328233658,0.0129219050508428,0.830661084756476,0.0173304467271888,0.812771184516248,0.0231138552336895,0.857433817407649,0.0259734239795833,0.842032011134308,0.00962100546973793
4,0.548611111111111,0.0344433243545479,0.451388888888889,0.0344433243545479,0.413601665510062,0.0129734509182492,1.04193434503399,0.0190007428649669,1.02646046315884,0.0263137949632082,1.06387298628315,0.0268073360209916,0.79016620498615,0.0107155223535862
5,0.508333333333333,0.0241489314502409,0.491666666666667,0.0241489314502409,0.489937543372658,0.013168916648498,1.37736639858457,0.0326650392152739,1.3474404090455,0.0464689398674458,1.40852164265145,0.0458815497333383,0.790132036136206,0.0107347642929372
