Bin,Mean_qRT_E,SEM_qRT_E,Mean_qRT_S,SEM_qRT_S,Mean_pS,SEM_pS,Mean_RT,SEM_RT,Mean_RT_E,SEM_RT_E,Mean_RT_S,SEM_RT_S,Mean_CorrectProb,SEM_CorrectProb
1,0.557400753728722,0.0382773013213609,0.442599246271279,0.0382773013213609,0.602122015915119,0.012604236316426,1.22815883555397,0.0215092247436069,1.25811516447748,0.0341782162655012,1.20836390454724,0.0276727397999071,0.874335106382979,0.00854716374387767
2,0.531923019599076,0.0219383553503975,0.468076980400924,0.0219383553503975,0.453457446808511,0.0128367871972242,0.997173795887668,0.0152376106894022,0.974788861415,0.0187591911197558,1.0241538781993,0.0248350894712699,0.8433575677462,0.00934417832945305
3,0.49777128378738,0.0185852126004199,0.50222871621262,0.0185852126004199,0.426011944260119,0.012738130366507,0.959573711008335,0.016970199507642,0.974679354552783,0.0224681561366108,0.939221091590971,0.0258907531251187,0.939032471835653,0.00615949318624373
4,0.503903047917132,0.0157571691795372,0.496096952082868,0.0157571691795372,0.42356055592323,0.0127116629196244,0.960088583528047,0.0148319317024187,0.931525508541667,0.0182887885463496,0.998961143392323,0.0245651872722976,0.853253652058433,0.00911822370443698
5,0.47569411176051,0.0224863289878211,0.52430588823949,0.0224863289878211,0.52774108322325,0.012830323237814,1.22192048777677,0.0250261259886092,1.21858521703456,0.0372941195728194,1.22490511678889,0.0337114774092857,0.851851851851852,0.00913596135680191
