subject,bin,probE,source,draw
2,1,0.541666666666667,empirical,NaN
2,2,0.652777777777778,empirical,NaN
2,3,0.513888888888889,empirical,NaN
2,4,0.555555555555556,empirical,NaN
2,5,0.5,empirical,NaN
3,1,0.152777777777778,empirical,NaN
3,2,0.25,empirical,NaN
3,3,0.444444444444444,empirical,NaN
3,4,0.430555555555556,empirical,NaN
3,5,0.416666666666667,empirical,NaN
7,1,0.486111111111111,empirical,NaN
7,2,0.569444444444444,empirical,NaN
7,3,0.416666666666667,empirical,NaN
7,4,0.444444444444444,empirical,NaN
7,5,0.680555555555556,empirical,NaN
8,1,0.361111111111111,empirical,NaN
8,2,0.527777777777778,empirical,NaN
8,3,0.458333333333333,empirical,NaN
8,4,0.486111111111111,empirical,NaN
8,5,0.458333333333333,empirical,NaN
9,1,0.611111111111111,empirical,NaN
9,2,0.555555555555556,empirical,NaN
9,3,0.5,empirical,NaN
9,4,0.583333333333333,empirical,NaN
9,5,0.541666666666667,empirical,NaN
10,1,0.402777777777778,empirical,NaN
10,2,0.472222222222222,empirical,NaN
10,3,0.638888888888889,empirical,NaN
10,4,0.555555555555556,empirical,NaN
10,5,0.375,empirical,NaN
11,1,0.569444444444444,empirical,NaN
11,2,0.541666666666667,empirical,NaN
11,3,0.486111111111111,empirical,NaN
11,4,0.555555555555556,empirical,NaN
11,5,0.263888888888889,empirical,NaN
12,1,0.611111111111111,empirical,NaN
12,2,0.527777777777778,empirical,NaN
12,3,0.444444444444444,empirical,NaN
12,4,0.541666666666667,empirical,NaN
12,5,0.541666666666667,empirical,NaN
13,1,0.611111111111111,empirical,NaN
13,2,0.458333333333333,empirical,NaN
13,3,0.513888888888889,empirical,NaN
13,4,0.430555555555556,empirical,NaN
13,5,0.472222222222222,empirical,NaN
15,1,0.763888888888889,empirical,NaN
15,2,0.569444444444444,empirical,NaN
15,3,0.555555555555556,empirical,NaN
15,4,0.486111111111111,empirical,NaN
15,5,0.361111111111111,empirical,NaN
16,1,0.736111111111111,empirical,NaN
16,2,0.680555555555556,empirical,NaN
16,3,0.680555555555556,empirical,NaN
16,4,0.569444444444444,empirical,NaN
16,5,0.402777777777778,empirical,NaN
17,1,0.569444444444444,empirical,NaN
17,2,0.458333333333333,empirical,NaN
17,3,0.625,empirical,NaN
